,Date,State,Administered,Series_Complete_Yes
2383,2021-10-12,Montana,1121053,524873
2385,2021-10-12,Texas,33150162,15108991
2387,2021-10-12,California,51983335,23682895
2388,2021-10-12,Arizona,8431426,3778818
2391,2021-10-12,Massachusetts,10019193,4728062
2392,2021-10-12,Ohio,12404949,5953664
2394,2021-10-12,Colorado,7367204,3470430
2396,2021-10-12,Florida,27491322,12545800
2397,2021-10-12,Missouri,6461605,2986258
2398,2021-10-12,Oklahoma,4282557,1922364
2399,2021-10-12,Minnesota,6867860,3319719
2400,2021-10-12,Mississippi,2862478,1322222
2404,2021-10-12,Indiana,6925795,3300838
2406,2021-10-12,Maine,1860211,929323
2407,2021-10-12,Tennessee,7117565,3174841
2408,2021-10-12,Maryland,8164474,3924403
2409,2021-10-12,North Dakota,771102,343003
2410,2021-10-12,Virginia,11188615,5255434
2412,2021-10-12,Wyoming,540605,246602
2413,2021-10-12,Idaho,1620885,758825
2414,2021-10-12,Pennsylvania,16694783,7533657
2415,2021-10-12,Kansas,3182486,1516013
2416,2021-10-12,Delaware,1242123,570316
2417,2021-10-12,West Virginia,1571928,729254
2418,2021-10-12,Washington,9876205,4731460
2419,2021-10-12,Illinois,15691651,6883621
2420,2021-10-12,Michigan,10972618,5264411
2421,2021-10-12,New Mexico,2862105,1340700
2422,2021-10-12,Kentucky,5097314,2391495
2423,2021-10-12,Rhode Island,1498777,735314
2424,2021-10-12,Vermont,929741,438705
2425,2021-10-12,Georgia,10937849,4933324
2426,2021-10-12,South Dakota,980481,462598
2428,2021-10-12,New Jersey,11805239,5789204
2429,2021-10-12,New York,26441882,12571329
2430,2021-10-12,Nevada,3489616,1590145
2431,2021-10-12,Nebraska,2226010,1069077
2432,2021-10-12,South Carolina,5444965,2495901
2434,2021-10-12,Louisiana,4661783,2152204
2435,2021-10-12,New Hampshire,1842823,845273
2436,2021-10-12,Arkansas,3106570,1402163
2437,2021-10-12,Connecticut,5176122,2480686
2438,2021-10-12,Utah,3525104,1663220
2439,2021-10-12,North Carolina,11758359,5379895
2440,2021-10-12,Iowa,3551153,1723596
2441,2021-10-12,Wisconsin,6994730,3336799
2442,2021-10-11,Oregon,5376890,2602309
2443,2021-10-11,Colorado,7357205,3467510
2444,2021-10-11,New Mexico,2855280,1339473
2445,2021-10-11,Iowa,3531857,1719374
2446,2021-10-11,Louisiana,4659022,2151123
2448,2021-10-11,Georgia,10937849,4933080
2449,2021-10-11,Missouri,6461605,2986084
2450,2021-10-11,Florida,27466753,12536194
2451,2021-10-11,Michigan,10964081,5262481
2452,2021-10-11,Pennsylvania,16671605,7527569
2453,2021-10-11,Idaho,1620857,758709
2455,2021-10-11,Alabama,4649732,2136775
2456,2021-10-11,Vermont,928211,438499
2457,2021-10-11,Indiana,6925712,3300743
2458,2021-10-11,Illinois,15677272,6879645
2460,2021-10-11,Tennessee,7071806,3161346
2461,2021-10-11,New Hampshire,1834111,843453
2462,2021-10-11,Arkansas,3105372,1401646
2463,2021-10-11,Ohio,12394949,5950952
2466,2021-10-11,Montana,1121053,524854
2467,2021-10-11,California,51952328,23673070
2468,2021-10-11,Mississippi,2841097,1315270
2469,2021-10-11,Rhode Island,1497883,735053
2470,2021-10-11,Delaware,1240826,569945
2471,2021-10-11,New Jersey,11790705,5785360
2473,2021-10-11,Utah,3525104,1663192
2475,2021-10-11,New York,26426189,12566585
2477,2021-10-11,South Carolina,5440419,2494017
2479,2021-10-11,Minnesota,6860759,3318229
2480,2021-10-11,Wyoming,537047,245670
2481,2021-10-11,Nebraska,2226007,1069035
2482,2021-10-11,North Carolina,11726627,5371721
2483,2021-10-11,Texas,33081515,15082183
2486,2021-10-11,West Virginia,1570862,729018
2488,2021-10-11,Kansas,3179839,1515175
2489,2021-10-11,Nevada,3486157,1589008
2490,2021-10-11,Maryland,8153435,3922023
2491,2021-10-11,Kentucky,5093392,2389907
2493,2021-10-11,Oklahoma,4279100,1921159
2495,2021-10-11,Arizona,8424216,3776517
2496,2021-10-11,South Dakota,980355,462534
2497,2021-10-11,Maine,1859986,929179
2499,2021-10-11,Connecticut,5172225,2479614
2500,2021-10-11,Massachusetts,10012913,4726317
2501,2021-10-11,Virginia,11181916,5253541
2502,2021-10-11,Wisconsin,6989650,3334976
2503,2021-10-11,Washington,9822638,4716099
2505,2021-10-11,North Dakota,771017,342988
2506,2021-10-11,District of Columbia,1023201,430476
2507,2021-10-10,Kentucky,5085682,2387165
2508,2021-10-10,Mississippi,2841097,1315214
2509,2021-10-10,Nebraska,2225020,1069007
2510,2021-10-10,Wisconsin,6979615,3332234
2511,2021-10-10,Connecticut,5161551,2477042
2512,2021-10-10,Michigan,10947178,5258770
2513,2021-10-10,Minnesota,6852785,3316484
2514,2021-10-10,Pennsylvania,16614317,7513444
2515,2021-10-10,Virginia,11156672,5246561
2516,2021-10-10,Iowa,3531857,1719353
2518,2021-10-10,Idaho,1620830,758670
2520,2021-10-10,Montana,1121053,524849
2521,2021-10-10,North Carolina,11708232,5367050
2522,2021-10-10,Missouri,6461604,2985368
2523,2021-10-10,Oklahoma,4273087,1919154
2524,2021-10-10,Arizona,8412069,3773195
2527,2021-10-10,Wyoming,537038,245659
2528,2021-10-10,Delaware,1237827,569270
2529,2021-10-10,New Mexico,2855233,1339355
2532,2021-10-10,Louisiana,4638613,2145131
2533,2021-10-10,Oregon,5367182,2600062
2534,2021-10-10,North Dakota,769160,342812
2535,2021-10-10,Ohio,12370298,5944879
2537,2021-10-10,Nevada,3481055,1587472
2539,2021-10-10,Kansas,3174120,1513845
2540,2021-10-10,Florida,27416042,12518518
2541,2021-10-10,Alabama,4642688,2133719
2542,2021-10-10,Utah,3525056,1663150
2543,2021-10-10,California,51884934,23652949
2544,2021-10-10,Massachusetts,9995616,4722462
2546,2021-10-10,New Jersey,11778899,5781884
2547,2021-10-10,Tennessee,7071806,3161239
2548,2021-10-10,Washington,9822636,4716033
2549,2021-10-10,New Hampshire,1831342,842835
2550,2021-10-10,South Carolina,5428709,2489490
2551,2021-10-10,District of Columbia,1021712,430137
2552,2021-10-10,Maine,1859534,929027
2553,2021-10-10,South Dakota,980078,462431
2556,2021-10-10,Georgia,10937841,4932942
2557,2021-10-10,Vermont,925087,438153
2558,2021-10-10,Arkansas,3092547,1397776
2559,2021-10-10,West Virginia,1570760,728890
2561,2021-10-10,Colorado,7351801,3466075
2562,2021-10-10,Rhode Island,1495405,734370
2563,2021-10-10,Indiana,6925712,3300643
2565,2021-10-10,Maryland,8148186,3920429
2566,2021-10-10,Illinois,15656316,6874173
2567,2021-10-10,Texas,33081512,15082183
2568,2021-10-10,New York,26410379,12561900
2572,2021-10-09,Washington,9822359,4715807
2573,2021-10-09,Delaware,1234536,568801
2576,2021-10-09,Florida,27373497,12505089
2577,2021-10-09,Wyoming,536884,245545
2578,2021-10-09,West Virginia,1570226,728684
2579,2021-10-09,Louisiana,4638164,2145068
2583,2021-10-09,Mississippi,2841035,1315147
2584,2021-10-09,Montana,1120801,524741
2585,2021-10-09,Colorado,7311177,3456105
2586,2021-10-09,Nebraska,2220772,1067981
2587,2021-10-09,Wisconsin,6958234,3327433
2588,2021-10-09,Utah,3525024,1663103
2589,2021-10-09,Pennsylvania,16612413,7512952
2590,2021-10-09,New Mexico,2845921,1337808
2591,2021-10-09,South Carolina,5411793,2484043
2592,2021-10-09,Virginia,11127070,5239151
2593,2021-10-09,California,51722146,23606861
2594,2021-10-09,Nevada,3473208,1585164
2595,2021-10-09,Rhode Island,1492536,733694
2596,2021-10-09,Idaho,1614169,756928
2597,2021-10-09,Minnesota,6834187,3312936
2598,2021-10-09,Oregon,5353529,2596621
2600,2021-10-09,Indiana,6908981,3296642
2602,2021-10-09,Alabama,4630089,2128926
2603,2021-10-09,New Jersey,11758004,5776317
2604,2021-10-09,Kansas,3157449,1509797
2605,2021-10-09,Maine,1859161,928926
2606,2021-10-09,New York,26370560,12551889
2607,2021-10-09,Kentucky,5070117,2382294
2608,2021-10-09,Connecticut,5150595,2474824
2609,2021-10-09,Michigan,10916450,5253381
2611,2021-10-09,Ohio,12369694,5944694
2612,2021-10-09,Oklahoma,4259773,1915359
2615,2021-10-09,Illinois,15622179,6866236
2617,2021-10-09,North Dakota,766061,342089
2618,2021-10-09,Texas,33018004,15060312
2619,2021-10-09,Missouri,6461027,2982676
2620,2021-10-09,Georgia,10937587,4932664
2621,2021-10-09,District of Columbia,1018485,429440
2623,2021-10-09,Tennessee,7071558,3161093
2625,2021-10-09,Arizona,8393061,3768114
2626,2021-10-09,Massachusetts,9975562,4718361
2627,2021-10-09,South Dakota,979555,462245
2628,2021-10-09,North Carolina,11674680,5357284
2630,2021-10-09,Iowa,3531820,1719270
2631,2021-10-09,Maryland,8134406,3916875
2632,2021-10-09,Vermont,921464,437749
2633,2021-10-09,Arkansas,3092442,1397729
2636,2021-10-09,New Hampshire,1829623,842567
2638,2021-10-08,Tennessee,7049724,3155230
2641,2021-10-08,Oregon,5338905,2593020
2642,2021-10-08,Massachusetts,9954959,4714276
2643,2021-10-08,Kansas,3149155,1507919
2644,2021-10-08,Maine,1852926,927554
2645,2021-10-08,Pennsylvania,16551120,7497640
2646,2021-10-08,California,51583481,23572618
2647,2021-10-08,New Hampshire,1783818,842004
2648,2021-10-08,Connecticut,5138344,2472337
2649,2021-10-08,Washington,9798601,4709138
2650,2021-10-08,Delaware,1234411,568699
2652,2021-10-08,Colorado,7310621,3455928
2653,2021-10-08,Georgia,10855933,4902669
2654,2021-10-08,Mississippi,2840936,1314997
2655,2021-10-08,Nebraska,2216436,1067098
2656,2021-10-08,South Dakota,975953,461422
2658,2021-10-08,Wyoming,534368,244957
2659,2021-10-08,Alabama,4624892,2126766
2662,2021-10-08,Maryland,8116338,3912884
2664,2021-10-08,Oklahoma,4247608,1911983
2666,2021-10-08,Arkansas,3085323,1395671
2667,2021-10-08,Kentucky,5053351,2377246
2668,2021-10-08,South Carolina,5394101,2478549
2669,2021-10-08,Louisiana,4623927,2141368
2670,2021-10-08,Illinois,15587972,6857894
2671,2021-10-08,Idaho,1608784,755435
2673,2021-10-08,Indiana,6889662,3292596
2674,2021-10-08,Missouri,6440676,2978294
2675,2021-10-08,West Virginia,1567789,728103
2677,2021-10-08,Rhode Island,1489433,732505
2678,2021-10-08,New Jersey,11733172,5769707
2679,2021-10-08,Ohio,12336137,5937051
2680,2021-10-08,Minnesota,6802645,3307486
2682,2021-10-08,Texas,32939626,15035159
2684,2021-10-08,District of Columbia,1016129,428769
2686,2021-10-08,Montana,1115986,523509
2687,2021-10-08,Iowa,3525042,1717770
2688,2021-10-08,New Mexico,2829941,1334938
2689,2021-10-08,Nevada,3464385,1582597
2690,2021-10-08,Vermont,917788,437363
2691,2021-10-08,Florida,27311365,12485973
2692,2021-10-08,North Dakota,762221,341319
2693,2021-10-08,Michigan,10837674,5230448
2694,2021-10-08,New York,26331713,12541761
2695,2021-10-08,Virginia,11097362,5231142
2697,2021-10-08,North Carolina,11640273,5348651
2698,2021-10-08,Utah,3504509,1656346
2699,2021-10-08,Arizona,8370474,3762179
2701,2021-10-08,Wisconsin,6936268,3322774
2702,2021-10-07,District of Columbia,1013795,428039
2704,2021-10-07,Colorado,7292850,3451022
2705,2021-10-07,Kentucky,5031807,2370563
2707,2021-10-07,Arizona,8343353,3754440
2708,2021-10-07,Iowa,3514279,1715447
2709,2021-10-07,Nebraska,2208073,1065561
2710,2021-10-07,Oklahoma,4233576,1907781
2711,2021-10-07,New York,26295456,12530826
2712,2021-10-07,Louisiana,4609137,2137185
2713,2021-10-07,Massachusetts,9927382,4708171
2714,2021-10-07,Virginia,11065456,5221636
2715,2021-10-07,Arkansas,3074757,1392755
2716,2021-10-07,Missouri,6420189,2972580
2718,2021-10-07,California,51458972,23536277
2719,2021-10-07,North Dakota,759219,340599
2720,2021-10-07,Utah,3493005,1652853
2722,2021-10-07,South Dakota,972498,460500
2723,2021-10-07,Tennessee,7018075,3146428
2725,2021-10-07,Michigan,10813173,5264919
2726,2021-10-07,Minnesota,6764831,3299755
2728,2021-10-07,North Carolina,11607374,5339892
2729,2021-10-07,Nevada,3453312,1579101
2730,2021-10-07,Wisconsin,6909247,3312990
2732,2021-10-07,Montana,1110918,522500
2734,2021-10-07,Ohio,12300302,5923087
2735,2021-10-07,Wyoming,532009,244243
2737,2021-10-07,Oregon,5322063,2588568
2738,2021-10-07,Maine,1845374,925935
2739,2021-10-07,Texas,32864271,15012446
2741,2021-10-07,New Jersey,11710176,5762084
2743,2021-10-07,Connecticut,5122227,2468665
2744,2021-10-07,Alabama,4604007,2118943
2745,2021-10-07,Kansas,3138093,1504832
2746,2021-10-07,Pennsylvania,16485841,7478873
2748,2021-10-07,Maryland,8098322,3908280
2750,2021-10-07,Georgia,10855634,4901526
2751,2021-10-07,Indiana,6866334,3283336
2752,2021-10-07,Delaware,1229897,567487
2753,2021-10-07,New Mexico,2829283,1334679
2754,2021-10-07,Vermont,913074,435683
2755,2021-10-07,Idaho,1601939,753593
2756,2021-10-07,Mississippi,2830765,1311697
2757,2021-10-07,West Virginia,1564874,727400
2758,2021-10-07,New Hampshire,1781147,841449
2759,2021-10-07,South Carolina,5373651,2471601
2760,2021-10-07,Illinois,15539702,6840978
2761,2021-10-07,Washington,9765227,4698325
2764,2021-10-07,Florida,27226376,12453971
2765,2021-10-07,Rhode Island,1484954,731457
2767,2021-10-06,Michigan,10812759,5264794
2768,2021-10-06,Texas,32758035,14976877
2770,2021-10-06,Oklahoma,4222148,1904981
2772,2021-10-06,Illinois,15515916,6834889
2773,2021-10-06,Indiana,6851412,3280429
2774,2021-10-06,Virginia,11046179,5216856
2775,2021-10-06,Wisconsin,6894275,3310059
2776,2021-10-06,Pennsylvania,16428388,7465121
2778,2021-10-06,South Dakota,970006,459985
2779,2021-10-06,Massachusetts,9914040,4705581
2781,2021-10-06,Louisiana,4596693,2133898
2782,2021-10-06,Mississippi,2824472,1309723
2784,2021-10-06,Oregon,5308427,2585014
2786,2021-10-06,Ohio,12267806,5915644
2787,2021-10-06,North Carolina,11577914,5332714
2788,2021-10-06,Vermont,910922,435394
2789,2021-10-06,Florida,27183658,12441401
2790,2021-10-06,Alabama,4594736,2115732
2791,2021-10-06,Kentucky,5020995,2367332
2792,2021-10-06,Idaho,1596605,752260
2793,2021-10-06,Tennessee,7002461,3142308
2796,2021-10-06,California,51335279,23504939
2797,2021-10-06,Connecticut,5113156,2466825
2798,2021-10-06,New Jersey,11676454,5752983
2799,2021-10-06,Arkansas,3066728,1390811
2800,2021-10-06,Rhode Island,1482772,730908
2801,2021-10-06,North Dakota,756373,339986
2802,2021-10-06,West Virginia,1562038,726841
2803,2021-10-06,Nebraska,2204976,1064811
2805,2021-10-06,Washington,9747714,4693017
2806,2021-10-06,Minnesota,6747635,3296634
2807,2021-10-06,Nevada,3447775,1577408
2810,2021-10-06,Colorado,7273165,3446292
2811,2021-10-06,South Carolina,5360992,2467927
2813,2021-10-06,Utah,3486293,1650838
2814,2021-10-06,Iowa,3506615,1713935
2815,2021-10-06,Wyoming,530245,243711
2816,2021-10-06,Kansas,3130664,1503132
2817,2021-10-06,New York,26251120,12518165
2818,2021-10-06,Arizona,8327793,3750483
2819,2021-10-06,New Mexico,2820241,1333184
2821,2021-10-06,Missouri,6407070,2968677
2823,2021-10-06,Maryland,8073917,3902742
2825,2021-10-06,Delaware,1222765,566618
2827,2021-10-06,Georgia,10855401,4901224
2828,2021-10-06,New Hampshire,1778335,841045
2829,2021-10-06,District of Columbia,1011741,427525
2830,2021-10-06,Maine,1841841,925207
2831,2021-10-06,Montana,1107577,521926
2832,2021-10-05,Illinois,15484999,6824845
2833,2021-10-05,Missouri,6394239,2965555
2834,2021-10-05,Virginia,11024264,5209839
2835,2021-10-05,New Jersey,11660018,5748260
2836,2021-10-05,Florida,27130511,12421289
2838,2021-10-05,Mississippi,2818650,1307770
2839,2021-10-05,Idaho,1590796,750824
2841,2021-10-05,Washington,9726597,4685496
2843,2021-10-05,Kansas,3123280,1501221
2845,2021-10-05,West Virginia,1559989,726445
2846,2021-10-05,Arkansas,3057792,1387937
2847,2021-10-05,Iowa,3500405,1712414
2848,2021-10-05,Tennessee,6984863,3136795
2850,2021-10-05,South Carolina,5349370,2463199
2851,2021-10-05,Maryland,8042613,3895540
2852,2021-10-05,Kentucky,5006646,2363081
2853,2021-10-05,Pennsylvania,16390874,7455024
2854,2021-10-05,Colorado,7259806,3442553
2855,2021-10-05,Vermont,909632,435247
2856,2021-10-05,Nebraska,2201296,1063886
2857,2021-10-05,Michigan,10788794,5260265
2858,2021-10-05,Connecticut,5104277,2464693
2859,2021-10-05,Indiana,6839742,3277797
2861,2021-10-05,Maine,1836891,924131
2862,2021-10-05,Oregon,5297634,2581492
2863,2021-10-05,New Mexico,2817214,1332380
2864,2021-10-05,Arizona,8315638,3747008
2866,2021-10-05,Wisconsin,6878997,3306845
2868,2021-10-05,Oklahoma,4211321,1901780
2870,2021-10-05,North Dakota,754027,339385
2871,2021-10-05,Utah,3465737,1643039
2872,2021-10-05,District of Columbia,1009395,426895
2873,2021-10-05,Ohio,12241979,5909570
2874,2021-10-05,New York,26226557,12511620
2875,2021-10-05,California,51250507,23482292
2876,2021-10-05,Texas,32704780,14958248
2877,2021-10-05,Massachusetts,9899821,4702253
2878,2021-10-05,Alabama,4584378,2111925
2879,2021-10-05,Louisiana,4584827,2130560
2880,2021-10-05,Wyoming,528763,243192
2881,2021-10-05,South Dakota,967633,459518
2883,2021-10-05,Georgia,10744528,4855141
2884,2021-10-05,Nevada,3443155,1575904
2886,2021-10-05,Minnesota,6731771,3293694
2887,2021-10-05,New Hampshire,1772296,840195
2891,2021-10-05,Montana,1104749,521457
2892,2021-10-05,North Carolina,11463167,5263543
2893,2021-10-05,Rhode Island,1480102,728787
2896,2021-10-05,Delaware,1210173,563872
2897,2021-10-04,Georgia,10744510,4854729
2898,2021-10-04,Indiana,6832517,3275660
2900,2021-10-04,Texas,32643535,14934393
2902,2021-10-04,District of Columbia,1007811,426601
2904,2021-10-04,Florida,27086942,12403083
2906,2021-10-04,Oregon,5290663,2579470
2907,2021-10-04,Virginia,11009315,5205089
2908,2021-10-04,Oklahoma,4206191,1899919
2909,2021-10-04,Illinois,15466497,6819398
2911,2021-10-04,Nevada,3436142,1573552
2912,2021-10-04,New Jersey,11640191,5742414
2913,2021-10-04,Maine,1834661,923552
2914,2021-10-04,Colorado,7251270,3439988
2915,2021-10-04,Nebraska,2180153,1059621
2916,2021-10-04,Pennsylvania,16365545,7447512
2918,2021-10-04,Michigan,10774388,5256121
2919,2021-10-04,Wyoming,521269,241117
2920,2021-10-04,Tennessee,6911738,3113418
2921,2021-10-04,New Mexico,2814505,1331870
2922,2021-10-04,Iowa,3474752,1707140
2923,2021-10-04,Louisiana,4580498,2128852
2924,2021-10-04,South Dakota,964117,458969
2925,2021-10-04,Alabama,4579477,2109349
2928,2021-10-04,Rhode Island,1478496,728323
2930,2021-10-04,New Hampshire,1769875,839804
2931,2021-10-04,California,51173040,23457400
2933,2021-10-04,Arizona,8301993,3742784
2934,2021-10-04,Ohio,12224790,5904694
2935,2021-10-04,Wisconsin,6872854,3305020
2936,2021-10-04,West Virginia,1558064,726070
2937,2021-10-04,South Carolina,5339309,2459185
2939,2021-10-04,Washington,9625523,4645819
2941,2021-10-04,Minnesota,6725604,3292208
2942,2021-10-04,Maryland,8042613,3895363
2943,2021-10-04,Connecticut,5098528,2463104
2944,2021-10-04,Missouri,6387070,2963230
2945,2021-10-04,Kentucky,5000683,2360825
2946,2021-10-04,North Dakota,753126,339246
2949,2021-10-04,Massachusetts,9890069,4699658
2951,2021-10-04,Kansas,3120141,1499949
2952,2021-10-04,New York,26190024,12496921
2954,2021-10-04,Mississippi,2791771,1298190
2955,2021-10-04,North Carolina,11447158,5259435
2956,2021-10-04,Arkansas,3055319,1386941
2957,2021-10-04,Delaware,1210172,563838
2958,2021-10-04,Montana,1103520,521198
2959,2021-10-04,Utah,3444725,1632366
2960,2021-10-04,Vermont,907193,434962
2961,2021-10-04,Idaho,1588061,749853
2963,2021-10-03,Utah,3444725,1632324
2964,2021-10-03,Maine,1834240,923384
2966,2021-10-03,New Jersey,11625670,5737539
2967,2021-10-03,Kansas,3110984,1497323
2968,2021-10-03,Michigan,10741890,5249742
2971,2021-10-03,Washington,9625482,4645646
2973,2021-10-03,Delaware,1210172,563798
2976,2021-10-03,Minnesota,6725381,3292020
2977,2021-10-03,Arkansas,3049839,1384987
2978,2021-10-03,Indiana,6808488,3269600
2979,2021-10-03,Kentucky,4998886,2360290
2981,2021-10-03,Georgia,10744495,4854200
2982,2021-10-03,District of Columbia,1004584,425904
2983,2021-10-03,New York,26133153,12476499
2984,2021-10-03,Tennessee,6911738,3113242
2985,2021-10-03,Wisconsin,6854435,3300516
2986,2021-10-03,Florida,26880075,12332537
2987,2021-10-03,Ohio,12170958,5890639
2988,2021-10-03,South Carolina,5318064,2450834
2989,2021-10-03,California,51087971,23430908
2991,2021-10-03,Nevada,3424321,1570414
2992,2021-10-03,Connecticut,5080315,2459161
2993,2021-10-03,North Dakota,752113,339204
2995,2021-10-03,Alabama,4565230,2103203
2996,2021-10-03,Iowa,3474752,1707114
2997,2021-10-03,Mississippi,2791771,1298104
2998,2021-10-03,Missouri,6360689,2957121
2999,2021-10-03,Pennsylvania,16326642,7437862
3000,2021-10-03,Rhode Island,1472522,726681
3001,2021-10-03,Colorado,7242642,3437414
3003,2021-10-03,Arizona,8278599,3736282
3004,2021-10-03,Montana,1097456,519931
3006,2021-10-03,Wyoming,521250,241092
3007,2021-10-03,Illinois,15408921,6804420
3008,2021-10-03,Virginia,10951122,5189123
3011,2021-10-03,Maryland,8033041,3892478
3013,2021-10-03,South Dakota,963946,458902
3014,2021-10-03,West Virginia,1557545,725872
3015,2021-10-03,New Hampshire,1762476,837873
3016,2021-10-03,Oregon,5277518,2575860
3017,2021-10-03,Nebraska,2179047,1059568
3018,2021-10-03,North Carolina,11423832,5252553
3019,2021-10-03,Vermont,904298,434578
3020,2021-10-03,Oklahoma,4194062,1895633
3021,2021-10-03,New Mexico,2808933,1330621
3022,2021-10-03,Idaho,1582889,748450
3024,2021-10-03,Texas,32601577,14916904
3025,2021-10-03,Louisiana,4568211,2125130
3026,2021-10-03,Massachusetts,9854121,4692131
3027,2021-10-02,North Carolina,11384965,5241162
3028,2021-10-02,Connecticut,5061299,2455474
3030,2021-10-02,Texas,32478792,14871468
3031,2021-10-02,Arizona,8243182,3726363
3033,2021-10-02,Georgia,10744206,4853758
3035,2021-10-02,South Dakota,963386,458681
3036,2021-10-02,Virginia,10923954,5181931
3040,2021-10-02,Illinois,15366094,6792704
3041,2021-10-02,Kentucky,4979877,2353606
3042,2021-10-02,Arkansas,3037532,1381428
3043,2021-10-02,Louisiana,4547557,2119303
3044,2021-10-02,Nebraska,2174786,1058707
3045,2021-10-02,Maine,1833508,923214
3046,2021-10-02,Tennessee,6911589,3113030
3047,2021-10-02,Idaho,1575295,746337
3048,2021-10-02,New Jersey,11573595,5723823
3049,2021-10-02,Utah,3444699,1632270
3050,2021-10-02,Delaware,1210081,563727
3052,2021-10-02,Massachusetts,9819970,4685444
3053,2021-10-02,Nevada,3406508,1566060
3057,2021-10-02,California,50863031,23369231
3059,2021-10-02,West Virginia,1556998,725626
3060,2021-10-02,Rhode Island,1465732,724952
3061,2021-10-02,Wisconsin,6824719,3293663
3063,2021-10-02,Oregon,5257395,2570195
3064,2021-10-02,Montana,1097293,519834
3065,2021-10-02,Ohio,12132314,5881719
3066,2021-10-02,South Carolina,5290045,2441488
3067,2021-10-02,Vermont,901854,434195
3068,2021-10-02,Colorado,7205363,3428116
3069,2021-10-02,Mississippi,2791691,1297974
3070,2021-10-02,Washington,9625321,4645356
3071,2021-10-02,Michigan,10704827,5243573
3074,2021-10-02,New Mexico,2798495,1328405
3075,2021-10-02,Indiana,6779818,3263095
3076,2021-10-02,North Dakota,748366,338334
3077,2021-10-02,Alabama,4544355,2094920
3079,2021-10-02,Maryland,8005407,3885808
3080,2021-10-02,Missouri,6331016,2948447
3081,2021-10-02,Minnesota,6698396,3286599
3082,2021-10-02,Florida,26877644,12331727
3083,2021-10-02,New Hampshire,1759007,837196
3084,2021-10-02,Wyoming,521105,241019
3085,2021-10-02,Oklahoma,4175185,1889967
3087,2021-10-02,Kansas,3098157,1493924
3088,2021-10-02,New York,26008987,12435115
3089,2021-10-02,Iowa,3474707,1707013
3090,2021-10-02,Pennsylvania,16275456,7426237
3091,2021-10-02,District of Columbia,1003200,425445
3092,2021-10-01,West Virginia,1553449,724901
3093,2021-10-01,New York,25963656,12417788
3094,2021-10-01,Indiana,6765339,3260132
3095,2021-10-01,Texas,32367702,14833273
3097,2021-10-01,Connecticut,5054683,2453791
3098,2021-10-01,Louisiana,4533166,2115775
3100,2021-10-01,Michigan,10656190,5227214
3103,2021-10-01,Kansas,3092716,1492281
3104,2021-10-01,Georgia,10674387,4824114
3105,2021-10-01,South Dakota,960781,458094
3106,2021-10-01,Massachusetts,9811783,4682802
3110,2021-10-01,Wyoming,520913,240910
3112,2021-10-01,Montana,1089956,518514
3114,2021-10-01,New Jersey,11547112,5716908
3116,2021-10-01,Illinois,15348664,6787835
3117,2021-10-01,Utah,3437350,1628214
3118,2021-10-01,Minnesota,6681703,3283285
3119,2021-10-01,North Dakota,744865,337399
3120,2021-10-01,Rhode Island,1464174,723947
3121,2021-10-01,Alabama,4534772,2090806
3122,2021-10-01,Virginia,10910780,5178108
3123,2021-10-01,Mississippi,2791597,1297823
3124,2021-10-01,Florida,26838067,12319184
3125,2021-10-01,South Carolina,5277805,2437813
3126,2021-10-01,Iowa,3467142,1705332
3128,2021-10-01,Arizona,8230420,3722711
3129,2021-10-01,Colorado,7189708,3423369
3130,2021-10-01,Ohio,12114178,5876941
3131,2021-10-01,Idaho,1570569,745039
3132,2021-10-01,Tennessee,6897008,3108523
3133,2021-10-01,Washington,9606072,4639289
3135,2021-10-01,Pennsylvania,16248312,7418431
3137,2021-10-01,Missouri,6320075,2946018
3138,2021-10-01,Vermont,899696,433836
3141,2021-10-01,Maine,1830272,922524
3142,2021-10-01,New Mexico,2792873,1326551
3143,2021-10-01,Maryland,7979418,3879416
3144,2021-10-01,Nevada,3403348,1564967
3145,2021-10-01,Delaware,1202699,561343
3146,2021-10-01,Kentucky,4946999,2342894
3147,2021-10-01,Arkansas,3028330,1378871
3148,2021-10-01,District of Columbia,1001421,424934
3149,2021-10-01,Oregon,5245350,2566668
3150,2021-10-01,Wisconsin,6809569,3290215
3151,2021-10-01,Oklahoma,4165663,1887145
3152,2021-10-01,New Hampshire,1756682,836777
3153,2021-10-01,California,50718669,23325382
3155,2021-10-01,Nebraska,2174668,1058664
3156,2021-10-01,North Carolina,11351493,5232429
3157,2021-09-30,Delaware,1202549,561269
3160,2021-09-30,Michigan,10627069,5221120
3161,2021-09-30,Kansas,3085006,1490136
3163,2021-09-30,Tennessee,6875072,3103098
3164,2021-09-30,Maine,1824230,921333
3165,2021-09-30,New Jersey,11535180,5713118
3166,2021-09-30,Pennsylvania,16205819,7405158
3168,2021-09-30,Utah,3427654,1622171
3169,2021-09-30,Maryland,7969400,3876526
3170,2021-09-30,North Carolina,11311513,5221411
3172,2021-09-30,Oklahoma,4152019,1883414
3173,2021-09-30,North Dakota,742416,336457
3174,2021-09-30,Connecticut,5039727,2449489
3175,2021-09-30,Idaho,1565695,743735
3176,2021-09-30,New Mexico,2786048,1324646
3179,2021-09-30,Virginia,10882638,5170550
3182,2021-09-30,District of Columbia,999174,424467
3183,2021-09-30,Minnesota,6665091,3280065
3184,2021-09-30,Georgia,10673110,4823331
3185,2021-09-30,Ohio,12089450,5870552
