,Date,State,Total Pop,Day_of_Wk,Confirmed,Confirmed_diff,Confirmed_rate,Confirmed_rate_diff,Deaths,Deaths_diff,Deaths_rate,Deaths_rate_diff,Recovered,Recovered_rate,Recovered_diff,Recovered_rate_diff,Active,Active_diff,Active_rate_diff,Active_rate,Case_Fatality_Ratio,Administered,Series_Complete_Yes,Month,Year,Monthly Temp (F),Monthly Avg Temp (F)
1228,2020-09-25,California,39512223,Friday,806526,4161.0,0.020412063375933,0.0001053091849577,15516,123.0,0.0003926886118252,3.112960766596211e-06,,,,,788144.0,4021.0,0.0001017659775811,0.0199468402473837,1.9306671975711125,0.0,0.0,9,2020,71.5,68.02714285714285
1229,2020-09-26,California,39512223,Saturday,810291,3765.0,0.0205073503457398,9.528696980678349e-05,15583,67.0,0.0003943842896412,1.6956778159507905e-06,,,,,791868.0,3724.0,9.4249316217921e-05,0.0200410895636016,1.9299003902403984,0.0,0.0,9,2020,71.5,68.02714285714285
1230,2020-09-27,California,39512223,Sunday,812602,2311.0,0.020565838576078,5.848823033824391e-05,15606,23.0,0.0003949663879959,5.820983547293653e-07,,,,,794284.0,2416.0,6.114563587070188e-05,0.0201022351994723,1.9269283482942128,0.0,0.0,9,2020,71.5,68.02714285714285
1231,2020-09-28,California,39512223,Monday,815551,2949.0,0.020640473708604,7.4635132525952e-05,15633,27.0,0.0003956497208471,6.833328512040305e-07,,,,,797078.0,2794.0,7.071229578756166e-05,0.0201729474952598,1.9235620042056767,0.0,0.0,9,2020,71.5,68.02714285714285
1232,2020-09-29,California,39512223,Tuesday,818673,3122.0,0.0207194872331025,7.901352449848215e-05,15782,149.0,0.0003994207058408,3.7709849936815617e-06,,,,,799872.0,2794.0,7.07122957875582e-05,0.0202436597910474,1.9348890583507223,0.0,0.0,9,2020,71.5,68.02714285714285
1233,2020-09-30,California,39512223,Wednesday,822191,3518.0,0.020808522972752,8.903573964947481e-05,15885,103.0,0.000402027494125,2.606788284222831e-06,,,,,803230.0,3358.0,8.498635979048777e-05,0.0203286461508379,1.9392881341447783,0.0,0.0,9,2020,71.5,68.02714285714285
1234,2020-10-01,California,39512223,Thursday,825341,3150.0,0.0208882451387258,7.972216597380496e-05,15973,88.0,0.0004042546530474,2.2271589224428503e-06,,,,,806232.0,3002.0,7.597648960424447e-05,0.0204046226404421,1.9427028539111293,0.0,0.0,10,2020,64.3,58.90642857142857
1235,2020-10-02,California,39512223,Friday,829169,3828.0,0.020985126551852,9.688141312626242e-05,16054,81.0,0.0004063046516011,2.0499985536120914e-06,,,,,809959.0,3727.0,9.432524209027418e-05,0.0204989478825324,1.9435529465032635,0.0,0.0,10,2020,64.3,58.90642857142857
1236,2020-10-03,California,39512223,Saturday,832566,3397.0,0.0210710999479831,8.59733961311171e-05,16115,61.0,0.0004078484776723,1.5438260712387656e-06,,,,,813406.0,3447.0,8.723882733704946e-05,0.0205861867098695,1.9426874063465545,0.0,0.0,10,2020,64.3,58.90642857142857
1237,2020-10-04,California,39512223,Sunday,835579,3013.0,0.0211473548324527,7.625488446954751e-05,16147,32.0,0.0004086583536441,8.098759717974297e-07,,,,,816566.0,3160.0,7.997525221499144e-05,0.0206661619620844,1.9390834537229515,0.0,0.0,10,2020,64.3,58.90642857142857
1238,2020-10-05,California,39512223,Monday,838480,2901.0,0.0212207751510209,7.342031856825623e-05,16171,24.0,0.0004092657606229,6.07406978847991e-07,,,,,819336.0,2770.0,7.010488880871205e-05,0.0207362668508932,1.935471516097412,0.0,0.0,10,2020,64.3,58.90642857142857
1239,2020-10-06,California,39512223,Tuesday,841285,2805.0,0.0212917658416738,7.09906906528647e-05,16244,73.0,0.0004111132901836,1.8475295606628155e-06,,,,,821958.0,2622.0,6.635921243914808e-05,0.0208026260633323,1.9379576760733093,0.0,0.0,10,2020,64.3,58.90642857142857
1240,2020-10-07,California,39512223,Wednesday,845116,3831.0,0.0213887231806724,9.695733899861904e-05,16338,94.0,0.0004134923008508,2.379010667154821e-06,,,,,825590.0,3632.0,9.192092279900269e-05,0.0208945469861313,1.940545984929828,0.0,0.0,10,2020,64.3,58.90642857142857
1241,2020-10-08,California,39512223,Thursday,848587,3471.0,0.0214765694149883,8.784623431589908e-05,16418,80.0,0.0004155169907802,2.024689929493466e-06,,,,,828852.0,3262.0,8.255673187509624e-05,0.0209771037180064,1.9423379511871943,0.0,0.0,10,2020,64.3,58.90642857142857
1242,2020-10-09,California,39512223,Friday,852445,3858.0,0.0215742100868381,9.764067184982184e-05,16486,68.0,0.0004172379772203,1.720986440069416e-06,,,,,832590.0,3738.0,9.460363695558416e-05,0.021071707354962,1.9416400887553056,0.0,0.0,10,2020,64.3,58.90642857142857
1243,2020-10-10,California,39512223,Saturday,855740,3295.0,0.0216576020033092,8.33919164710123e-05,16567,81.0,0.0004192879757739,2.0499985536121456e-06,,,,,835843.0,3253.0,8.232895425802633e-05,0.02115403630922,1.9435482924883565,0.0,0.0,10,2020,64.3,58.90642857142857
1244,2020-10-11,California,39512223,Sunday,858372,2632.0,0.0217242143019895,6.661229868033455e-05,16579,12.0,0.0004195916792634,3.037034894240497e-07,,,,,838611.0,2768.0,7.005427156047545e-05,0.0212240905807805,1.938633520036483,0.0,0.0,10,2020,64.3,58.90642857142857
1245,2020-10-12,California,39512223,Monday,861215,2843.0,0.0217961667203589,7.1952418369374e-05,16586,7.0,0.0004197688396322,1.771603688306505e-07,,,,,841327.0,2716.0,6.873822310630301e-05,0.0212928288038868,1.93329626663776,0.0,0.0,10,2020,64.3,58.90642857142857
1246,2020-10-13,California,39512223,Tuesday,864710,3495.0,0.0218846203616536,8.845364129474523e-05,16644,58.0,0.0004212367398311,1.4679001988827803e-06,,,,,844666.0,3339.0,8.450549593223139e-05,0.021377334299819,1.9324052896169788,0.0,0.0,10,2020,64.3,58.90642857142857
1247,2020-10-14,California,39512223,Wednesday,868671,3961.0,0.0219848678217877,0.000100247460134,16729,85.0,0.0004233879728812,2.151233050086811e-06,,,,,848475.0,3809.0,9.64005492680095e-05,0.021473734849087,1.9335324385925168,0.0,0.0,10,2020,64.3,58.90642857142857
1248,2020-10-15,California,39512223,Thursday,871721,3050.0,0.0220620591253496,7.719130356194023e-05,16832,103.0,0.0004259947611654,2.606788284222831e-06,,,,,851316.0,2841.0,7.190180112113392e-05,0.0215456366502082,1.9388399213037408,0.0,0.0,10,2020,64.3,58.90642857142857
1249,2020-10-16,California,39512223,Friday,874941,3220.0,0.0221435528950117,8.149376966211028e-05,16910,78.0,0.0004279688338466,1.974072681256106e-06,,,,,854343.0,3027.0,7.660920520721065e-05,0.0216222458554154,1.940882843445016,0.0,0.0,10,2020,64.3,58.90642857142857
1250,2020-10-17,California,39512223,Saturday,877372,2431.0,0.0222050781602442,6.152526523248505e-05,16956,46.0,0.0004291330305561,1.1641967094587306e-06,,,,,856658.0,2315.0,5.858946483471711e-05,0.0216808353202501,1.940902961719936,0.0,0.0,10,2020,64.3,58.90642857142857
1251,2020-10-18,California,39512223,Sunday,879380,2008.0,0.0222558978774745,5.081971723028614e-05,16979,23.0,0.0004297151289108,5.820983547293653e-07,,,,,858713.0,2055.0,5.200922256386187e-05,0.021732844542814,1.9389237311748884,0.0,0.0,10,2020,64.3,58.90642857142857
1252,2020-10-19,California,39512223,Monday,883429,4049.0,0.022358372496531,0.0001024746190564,16982,3.0,0.0004297910547832,7.592587235603954e-08,,,,,862663.0,3950.0,9.996906526874016e-05,0.0218328136080827,1.93055152931012,0.0,0.0,10,2020,64.3,58.90642857142857
1253,2020-10-20,California,39512223,Tuesday,887527,4098.0,0.0224620872381693,0.0001037147416383,17055,73.0,0.0004316385843438,1.847529560662761e-06,,,,,866691.0,4028.0,0.0001019431379499,0.0219347567460327,1.929853147850174,0.0,0.0,10,2020,64.3,58.90642857142857
1254,2020-10-21,California,39512223,Wednesday,890810,3283.0,0.0225451754511509,8.308821298158922e-05,17167,112.0,0.0004344731502451,2.8345659012908413e-06,,,,,869772.0,3081.0,7.797587090961969e-05,0.0220127326169423,1.9355333343104768,0.0,0.0,10,2020,64.3,58.90642857142857
1255,2020-10-22,California,39512223,Thursday,897298,6488.0,0.0227093778044328,0.0001642023532819,17256,89.0,0.0004367256177917,2.252467546561476e-06,,,,,876108.0,6336.0,0.0001603554424158,0.0221730880593582,1.93157548322968,0.0,0.0,10,2020,64.3,58.90642857142857
1256,2020-10-23,California,39512223,Friday,902835,5537.0,0.0228495116561778,0.000140133851745,17305,49.0,0.0004379657403735,1.2401225818147702e-06,,,,,881494.0,5386.0,0.0001363122495031,0.0223094003088613,1.9253470464475373,0.0,0.0,10,2020,64.3,58.90642857142857
1257,2020-10-24,California,39512223,Saturday,907599,4764.0,0.0229700819414792,0.0001205702853013,17343,38.0,0.00043892746809,9.617277165094003e-07,,,,,886341.0,4847.0,0.0001226709011031,0.0224320712099645,1.919144302654468,0.0,0.0,10,2020,64.3,58.90642857142857
1258,2020-10-25,California,39512223,Sunday,910407,2808.0,0.0230411485580044,7.106661652521787e-05,17358,15.0,0.0004393070974518,3.79629361780035e-07,,,,,889238.0,2897.0,7.331908407178303e-05,0.0225053902940363,1.91463452298488,0.0,0.0,10,2020,64.3,58.90642857142857
1259,2020-10-26,California,39512223,Monday,914374,3967.0,0.0231415478698832,0.0001003993118787,17386,28.0,0.0004400157389271,7.086414753227103e-07,,,,,893052.0,3814.0,9.652709238859929e-05,0.0226019173864249,1.9096303098069285,0.0,0.0,10,2020,64.3,58.90642857142857
1260,2020-10-27,California,39512223,Tuesday,918795,4421.0,0.0232534372971118,0.0001118894272286,17460,74.0,0.0004418885771119,1.872838184781441e-06,,,,,897428.0,4376.0,0.0001107505391432,0.0227126679255682,1.908430321525695,0.0,0.0,10,2020,64.3,58.90642857142857
